Category,Supporting Ministry,Community,Project,Status,Target Completion Date,Description,Result,Area,Region,Address,Postal Code,Highway / Transit Line,Estimated Total Budget,Municipal Funding,Provincial Funding,Federal Funding,Other Funding,Website,Latitude,Longitude,Geometry
Communities,Infrastructure,Mohawks of the Bay of Quinte First Nation,Bayshore Road Wastewater Pumping Station,Planning,2022,"Replace two wastewater pumps, thirty metres of pipes, valves, bases, rails, as well as the motor control panel, generator and automatic transfer switch, new mechanical and electrical components and additional equalization storage.",Provide efficient and reliable wastewater pumping to accommodate peak sewage flows.,,East,24 Meadow Drive,K0K1X0,,"$1,166,840 ",Yes,Yes,Yes,,,44.182865,-77.072507,
Roads and bridges,Infrastructure,Mohawks of the Bay of Quinte First Nation,Reconstruction of a Section of York Road and Rehabilitation of the Mud Creek Bridge,Planning,2021,"The reconstruction of 5 kilometres of York Road, between Shannonville Road and Norways Road, will rehabilitate the Mud Creek Bridge to improve road safety and reliability for motorists, cyclists and pedestrians.",,,East,24 Meadow Drive,K0K1X0,,"$4,666,500 ",Yes,Yes,Yes,,,44.192346,-77.161466,
Recreation,Infrastructure,Mono,Construction of Two Additional Tennis Courts and Related Infrastructure at Mono Tennis Club in Mono Centre,Planning,2022,"The project will construct two accessible tennis courts with fencing and lighting as well as accessible washrooms and a new parking area. The upgrades will improve accessibility and the user experience, and support the expansion of tennis programs.",,Dufferin,Central,347209 Mono Centre Road,L9W6S3,,"$517,000 ",Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/61048/30-bundle-en,44.0263,-80.0718,
Recreation,Infrastructure,Moonbeam,Moonbeam Community Hub,Planning,2022,"Construction and rehabilitation work to create a community hub. This involves the installation of a pavilion/roof on the outdoor skating rink, new skating rink boards, the installation of bleachers and new lights, the rehabilitation of the tennis court and the resurfacing of 6 kilometres of paved natura trails with asphalt.",,Cochrane,Northeast,53 St. Aubin Avenue,P0L1V0,,"$1,199,450 ",Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000470/canada-and-ontario-invest-over-35-million-in-35-recreational-and-community-infrastructure-projects,49.35,-82.15,
Communities,Infrastructure,Moose Cree First Nation,Moose Cree First Nation,Planning,23-Apr,Moose Cree sewage system rehabilitation,,,Northeast,22 Jonathan Cheechoo Dr,P0L1W0,,"$2,666,429 ",Yes,Yes,Yes,,,51.266886,-80.606213,
Health care,Health,Moosonee,Weeneebayko Area Health Authority - Replacement Facility,Planning,27-Nov,"New hospital, and Elder Care Lodge in Moosonee and a new ambulatory care center in Moose Factory.","This project will address aging infrastructure/poor physical condition of existing facilities, by building replacement facilities that will enable the provision of culturally safe health care for clients and patients for residents in Moosonee, Moose Factory, and along the James Bay Coast",Cochrane,Northeast,5 Percy's Way,POL 1Y0,,0,,Yes,,Yes,http://www.infrastructureontario.ca/uploadedFiles/_CONTENT/News/2_Market_Update/Market%20Update%20Fall%202017%20-%20CHART.PDF,51.271185,-80.650871,
Broadband,Infrastructure,Moosonee,"""Up to Speed"" Broadband Fiber to the Home ICON Project for Moose Factory & Moosonee",Planning,24-Mar,New broadband construction by Moose Factory Cable Inc and Moosonee Cable Inc.,Providing reliable internet access,Cochrane,Northeast,,,,"$1,688,655 ",,Yes,,Yes,,51.2778163,-80.6387859,
Communities,Infrastructure,Moosonee,Water Valve Rehabilitation for Directional Flushing Program,Under construction,2022,"Rehabilitate the majority of the distribution system water control valves and, as necessary, install or repair hydrants.",Reduced levels of trihalomethanes in the drinking water.,Cochrane,Northeast,,,,"$224,678 ",Yes,Yes,Yes,,,51.283625,-80.617569,
Communities,Infrastructure,Moosonee,"Second Street and Bay Road Sanitary Sewer, Watermain, and Storm Drainage Reconstruction",Planning,2021,"Replacement of 575 metres of sanitary sewer and 7 manholes and 340 metres of watermain as well as installing 1,100 metres of roadside ditching, culverts, and adjusting stormwater inlets which will improve storm water drainage.",,Cochrane,Northeast,5 First Street/Rue,P0L1Y0,,"$1,995,457 ",Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000459/canada-and-ontario-invest-over-29-million-in-19-green-infrastructure-projects,51.272426,-80.639192,
Roads and bridges,Infrastructure,Morris-Turnberry,Replacement of the Blind Bridge on Abraham Line,Planning,2022,"The replacement of the existing, one-lane Blind Bridge on Abraham Line with a new, two-lane structure will improve safety, reliability and traffic flow, and remove weight restrictions.",,Huron,Southwest,41342 Morris Rd.,N0G1H0,,"$2,738,168 ",Yes,Yes,Yes,,,43.84449,-81.28783,
Health care,Health,Muskoka,Muskoka Algonquin Healthcare - Hospital Redevelopment Projects,Planning,To Be Determined,The Project will include a phased redevelopment of Muskoka Algonquin Healthcare's two hospital sites in Bracebridge and Huntsville.,"Enhance patient safety, meet modern standards and increase patient access to inpatient, stroke, ambulatory and emergency services.",Muskoka,Central,100 Frank Miller Dr,P1H 1H7,,0,,Yes,,Yes,,45.3269,-79.2168,
Communities,Infrastructure,Muskoka,Golden Pheasant Wastewater Treatment Plant  Upgrade.,Under construction,22-Dec,Upgrades to the Golden Pheasant Wastewater Treatment Plant. ,Improved effluent quality and cost effective operations.,Muskoka,Central,,,,"$4,657,239 ",Yes,Yes,Yes,,,45.34,-79.17,
Roads and bridges,Transportation,Muskoka,Hwy 11/Muskoka Rd. 117 interchange in Bracebridge and Beaver Creek Culvert in Gravenhurst,Under construction,2022,Culvert rehabilitation of Beaver Creek Culvert and Muskoka Rd. 117 ,Culvert rehabilitation,Muskoka,Central,,,Highway 11,0,,Yes,,,,45.08476,-79.29783,
Roads and bridges,Transportation,Muskoka,"Hwy 11, South Mary Lake Rd., south of Huntsville",Under construction,2022,Intersection improvements at South Mary Lake Rd. ,Intersection improvements,Muskoka,Central,,,Highway 11,0,,Yes,,,,45.19576783,-79.3133582,
Roads and bridges,Transportation,Muskoka,"Hwy 11, South junction Muskoka Rd. 3 interchange, Muskoka Rd. 2 underpass, Huntsville",Under construction,23-Jun,Bridge rehabilitation on Hwy 11 at Muskoka Rd. 3 and Muskoka Rd. 2,Bridge rehabilitation,Muskoka,Central,,,Highway 11,0,,Yes,,,,45.31261219,-79.24555026,
Education,Education,Muskoka Lakes,Glen Orchard Public Elementary School,Under construction,2022,Renovation of existing school,"Renovation to address accommodation needs as a result of a consolidation, including 54 child care spaces",Muskoka,Central,3954 MUSKOKA RD 169 RR 1,P0B 1J0,,"$1,016,012 ",,Yes,,Yes,,45.08563,-79.63304,
Broadband,Infrastructure,Muskoka Lakes,Muskoka - Muskoka Lakes ICON Project,Planning,24-Apr,New broadband construction by Cogeco,Providing reliable internet access,Muskoka,Central,,,,"$3,129,334 ",,Yes,,Yes,,45.0733297,-79.6282122,
Communities,Infrastructure,Naicatchewenin First Nation,Waste Water Collection System Flush,Under construction,23-Sep,Clean and flush the sewage collection piping. ,Ensure wastewater does not enter the environment and negatively impact surrounding communities.,Rainy River,Northwest,,P0W 1C0,,"$7,500 ",,Yes,Yes,Yes,,48.710464,-93.386074,
Communities,Infrastructure,Naicatchewenin First Nation,Naicatchewenin First Nation,Planning,2022,Water and wastewater critical health and safety project,,Rainy River,Northwest,RR 1,P0W1C0,,"$2,592,505 ",Yes,Yes,Yes,,,48.859613,-93.572801,
Roads and bridges,Infrastructure,Nairn and Hyman,Reconstruction of Old Nairn Road,Planning,23-Sep,"Widening and resurfacing a portion of Old Nairn Road, including replacing culverts, will improve safety and security for motorists and pedestrians.",,Middlesex,Northeast,64 McIntyre Street/Rue,P0M2L0,,"$3,249,181 ",Yes,Yes,Yes,,,46.326803,-81.609291,
Communities,Infrastructure,Naotkamegwanning First Nation,Naotkamegwanning  First Nation (Whitefish Bay),Planning,24-Mar,Wastewater plant replacement,,,Northwest,1800 Pawitik St,P0X1L0,,"$2,764,061 ",Yes,Yes,Yes,,,49.40944,-93.9536,
Roads and bridges,Infrastructure,Naotkamegwanning First Nation,Rehabilitation of the Access Road to Three First Nation Communities,Planning,2022,"Upgrades to the access road between Highway 71 and the First Nation communities of Naotkamegwanning, Animakee Wa Zhing #37 and Northwest Angle #33, will improve the road surfaces, drainage and signage.","Overall, the project will improve the reliability and safety of the road and contribute to better the overall road network.",,Northwest,1800 Pawitik St,P0X1L0,,"$1,027,606 ",Yes,Yes,Yes,,,49.401347,-93.951899,
Recreation,Infrastructure,Neskantaga First Nation,Neskantaga Community Recreation Centre,Planning,2022,"Adding insulation and new change rooms, and create an accessible gym. ","The project will improve the quality and safety of the community centre, and provide a space where residents of all ages and abilities can participate in recreational and social activities.",,Northwest,Neskantaga Reserve #239,,,"$2,990,375 ",Yes,Yes,Yes,,,52.199556,-88.021971,
Child care,Education,New Tecumseth,St. Paul's Catholic Elementary School,Under construction,23-Jan,Expansion of existing school,Addition to accommodate 49 child care spaces,Simcoe,Central,100 JAMES A MCCAGUE AVE,L9R 0G5,,"$2,548,820 ",,Yes,,,,44.16496,-79.86846,
Child care,Education,New Tecumseth,Tecumseth Beeton Public Elementary School,Planning,2022,Renovation of existing school,Renovation to accommodate 39 child care spaces,Simcoe,Central,43 PATTERSON ST,L0G 1A0,,"$1,123,131 ",,Yes,,,,44.08114,-79.78196,
Education,Education,New Tecumseth,Alliston Catholic Elementary School,Under construction,2022,Construction of new school,"New facility to accommodate 470 students in a growing community, including the construction of 49 child care spaces ",Simcoe,Central,WILLOUGHBY  WAY,,,"$14,977,047 ",,Yes,,Yes,,44.16083,-79.79198,
Education,Education,New Tecumseth,Banting Memorial Public Secondary School,Planning,2022,Construction of new school,"New replacement facility to accommodate 1288 students, including the construction of 49 child care spaces",Simcoe,Central,SIR FREDERICK BANTING RD / JOHN W TAYLOR AVE,,,"$41,416,969 ",,Yes,,,,44.1645116,-79.84541627,
Education,Education,New Tecumseth,Tottenham Catholic Elementary School,Planning,26-Sep,Construction of new school,"New facility to accommodate 516 students in a growing community, including the construction of 49 child care spaces",Simcoe,Central,TBD,L0G 1W0,,"$16,311,549 ",,Yes,,,,,,
Recreation,Infrastructure,New Tecumseth,Construction of a Multi-Use Accessible Pedestrian Trail along Boyne River in Community of Alliston,Planning,2022,"The project will construct a 350 metre multi-use and accessible pedestrian trail, which will include a new asphalt path, rest areas, benches, signage, lighting and landscaping. The path will improve  accessibility and facilitate active transportation by connecting downtown to amenities at Riverdale Park.  ",,Simcoe,Central,10 Wellington Street/Rue East/Est,L9R1A1,,"$400,004 ",Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/61048/30-bundle-en,44.1548,-79.8761,
Recreation,Infrastructure,New Tecumseth,Improvements to Riverdale Park in Alliston,Planning,23-Mar,"The project will  design and construct a new pavilion, and install shade features at the splash pad area, two playground structures and a rubberized surface at Rotary Park. The upgrades will offer improved and increased opportunities for inclusive play.",,Simcoe,Central,10 Wellington Street/Rue East/Est,L9R1A1,,"$1,323,300 ",Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/61048/30-bundle-en,44.1552,-79.8781,
