Category,Supporting Ministry,Community,Project,Status,Target Completion Date,Description,Result,Area,Region,Address,Postal Code,Highway / Transit Line,Estimated Total Budget,Municipal Funding,Provincial Funding,Federal Funding,Other Funding,Website,Latitude,Longitude,Geometry
Broadband,Infrastructure,OXFORD COUNTY,Brooksdale SWIFT Broadband Project,Under construction,22-Dec,New broadband construction by Quadro Communications,Providing reliable internet access for 326 premises,OXFORD,Southwest,,,,"$5,214,563 ",,Yes,Yes,Yes,https://www.swiftruralbroadband.ca/projects/approved-projects/,43.2317676,-80.9321988,
Broadband,Infrastructure,OXFORD COUNTY,Kintore SWIFT Broadband Project,Under construction,2022,New broadband construction by Execulink,Providing reliable internet access for 82 premises,OXFORD,Southwest,,,,"$406,534 ",,Yes,Yes,Yes,https://www.swiftruralbroadband.ca/projects/approved-projects/,,,
Broadband,Infrastructure,OXFORD COUNTY,Salford SWIFT Broadband Project,Planning,22-Dec,New broadband construction by Execulink,Providing reliable internet access for 239 premises,OXFORD,Southwest,,,,"$859,221 ",,Yes,Yes,Yes,https://www.swiftruralbroadband.ca/projects/approved-projects/,45.4293359,-76.5704577,
Broadband,Infrastructure,OXFORD COUNTY,Verschoyle SWIFT Broadband Project,Planning,2022,New broadband construction by Execulink,Providing reliable internet access for 107 premises,OXFORD,Southwest,,,,"$614,582 ",,Yes,Yes,Yes,https://www.swiftruralbroadband.ca/projects/approved-projects/,43.0332984,-80.7936542,
Broadband,Infrastructure,OXFORD COUNTY,Delmer SWIFT Broadband Project,Under construction,2022,New broadband construction by Execulink,Providing reliable internet access for  207 premises,OXFORD,Southwest,,,,"$692,260 ",,Yes,Yes,Yes,https://www.swiftruralbroadband.ca/projects/approved-projects/,42.8879808,-80.7916349,
Roads and bridges,Transportation,OXFORD COUNTY,"Hwy 403 from Hwy 401 to west of West Quarter Townline Rd., County of Brant",Planning,24-Nov,"Reconstruction of Hwy 403 from Hwy 401 to West Quarter Townline Rd., bridge rehabilitation of Kenny Creek Bridge, Township Rd. and County Rd. 14","Reconstruction, Bridge rehabilitation",OXFORD,Southwest,,,Highway 403,0,,Yes,,,,43.13634871,-80.5586518,
Education,Education,PARRY SOUND,Parry Sound Public Elementary and Secondary School,Under construction,24-Sep,Construction of new school,"New facility to accommodate 815 students as a result of a consolidation, including the construction of 49 child care spaces and of 1 EarlyON room",PARRY SOUND,Northeast,111 ISABELLA ST,P2A 1N2,,"$27,372,629 ",,Yes,,,,45.35447482,-80.03883137,
Recreation,Infrastructure,PARRY SOUND,Regional Community Centres in Partnership with Parry Sound and Huron East,Planning,25-Dec,"The conceptual design of this new facility features a 25-metre, multi-lane lap pool, and a warm water therapy/leisure pool. It will also include a gym, a fitness and conditioning centre and studio, an indoor walking track, various multi-purpose rooms, space for Indigenous programming, and inclusive change rooms. Once complete, residents of the West Parry Sound area will have better access to a modern and inclusive recreational facility.",,PARRY SOUND,Northeast,52 Seguin St,P2A1B4,,"$31,900,768 ",Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000278/canada-and-ontario-invest-over-26-million-to-support-regional-community-centres-in-partnership-with-parry-sound-and-huron-east,45.3674,-80.0434,
Recreation,"Tourism, Culture and Sport",PARRY SOUND,Parry Sound T,Under construction,23-Mar,"Our Municipality, with a $240,000 Community Building Fund – Capital stream grant over 12 months, will address a community need by replacing seven heating, ventilation, and air conditioning units to improve air quality and circulation in the community centre. ",,PARRY SOUND,Northeast,7 Mary Street,P2A 1C8,,"$240,000 ",,Yes,,,,45.345683,-80.031536,
Broadband,Infrastructure,PARRY SOUND DISTRICT,Parry Sound 2 Broadband Project,Planning,24-Mar,New broadband construction by Cogeco Connexion,Providing reliable internet access,PARRY SOUND,Northeast,,,,"$13,376,651 ",,Yes,Yes,Yes,,45.5460365,-79.8981598,
Roads and bridges,Transportation,PARRY SOUND DISTRICT,"Hwy 124 from Hwy 400 easterly, Parry Sound to McKellar",Under construction,2022,Resurfacing/paved shoulders of Hwy 124 from Hwy 400 to McKellar Centre Rd. and rehabililation of Harris Creek Culvert ,"Culvert rehabilitation, Resurfacing, Paved shoulders",PARRY SOUND,Northeast,,,Highway 124,0,,Yes,,,,45.38196643,-80.04095232,
Communities,Infrastructure,PAYS PLAT FIRST NATION,Pays Plat Water Plant,Planning,2022,"Replace outdated control systems at the water treatment plant. Chlorine dosing pumps with automatic switch-over capacity will also be installed, the drinking water reservoir and distribution valves cleaned, and the diesel fire pump motor replaced with an electrical motor to remove the risk of diesel contaminating the reservoir. In addition, new sand filters, low and high lift pumps, and distribution system valves will be installed.","Improved treatment and quality of drinking water, help prevent system failure and extend the life of the asset.",THUNDER BAY,Northwest,10 Central Place,P0T3C0,,"$1,858,725 ",Yes,Yes,Yes,,,48.875303,-87.55357,
Communities,Infrastructure,PEEL,Storm sewer assessment,Under construction,23-Sep,Assess the Region of Peel's storm sewer infrastructure.,Greater ability to maintain the storm sewer infrastructure.,PEEL,Central,,,,"$6,000,000 ",Yes,Yes,Yes,,,43.616667,-79.616667,
Communities,Infrastructure,PEEL,Watermain construction,Under construction,2022,Construct a water main on Mount Pleasant Road from the Palgrave Reservoir to the McGuire Trail.,Improved security of the supply and water quality in the Palgrave water supply system.,PEEL,Central,,,,"$1,125,000 ",Yes,Yes,Yes,,,43.966389,-79.809722,
Communities,Infrastructure,PEEL,Equipment Replacement ,Under construction,2022,"Replace various pieces of equipment at the lake-based pumping stations, reservoirs, elevated tanks and generation facilities.",,PEEL,Central,,,,"$4,969,125 ",Yes,Yes,Yes,,,43.616667,-79.616667,
Communities,Infrastructure,PEEL,Flow and Pressure Monitoring,Under construction,2022,Install additional flow and pressure monitoring equipment at various locations within the region's lake-based water supply system.,Reduce the energy used for pumping the water and identify operational issues that can cause watermain breaks.,PEEL,Central,,,,"$2,250,000 ",Yes,Yes,Yes,,,43.616667,-79.616667,
Communities,Infrastructure,PEEL,Construction of a watermain,Under construction,2022,Construct a watermain on Dundas Street West from Mississauga Road to Cedarglen Gate.,Improved security of water supply in the area. ,PEEL,Central,,,,"$3,750,000 ",Yes,Yes,Yes,,,43.551389,-79.644444,
Communities,Transportation,PEEL,Electric Vehicle Charging Station at TRCA - Albion Hills Conservation Area Chalet,Planning,To Be Determined,Installation of electric vehicle charging stations,2 Level 2 charging stations,PEEL,Central,16500 Regional Rd 50 ,,,0,,,,,,43.927947,-79.821713,
Communities,Transportation,PEEL,Electric Vehicle Charging Station at Tim Horton's,Planning,To Be Determined,Installation of electric vehicle charging stations,1 Level 2 and 1 Level 3 charging stations,PEEL,Central,19245 Airport Rd,,,0,,,,,,43.9358042,-79.9540488,
Roads and bridges,Transportation,PEEL,Bridge widening,Under construction,2022,Wident the bridges and improve the interchange from Courtneypark Dr. to Queen St.,,PEEL,Central,,,Hwy 410,"$40,679,000 ",,Yes,,,,43.6519169,-79.6774414,
Roads and bridges,Transportation,PEEL,"QEW/Credit River Bridge, Mississauga",Under construction,26-Jul,New bridge at QEW/Credit River Bridge and rehabilitation of QEW/Credit River Bridge,"New bridge, Bridge rehabilitation, Resurfacing, Interchange improvements",PEEL,Central,,,QEW,0,,Yes,,,,43.5567289,-79.6099704,
Transit,Transportation,PEEL,TransHelp Bus Replacement ,Planning,27-Mar,Replace 69 TransHelp buses over the course of the project.,"Reduced service interruptions, improved quality of the service, andmaintain the efficiency and safety of the fleet.",PEEL,Central,,,,"$7,245,000 ",Yes,Yes,Yes,,,,,
Transit,Transportation,PEEL,TransHelp PRESTO Fare System Adoption,Planning,26-May,Purchase 145 PRESTO payment units to integrate the PRESTO fare solution with the TransHelp specialized transit service., This will allow passengers to transfer seamlessly between transit systems.,PEEL,Central,,,,"$1,530,000 ",Yes,Yes,Yes,,,,,
Communities,"Agriculture, Food and Rural Affairs",PELEE,Curry Marsh Drainage Improvements and Flooding Prevention,Under construction,2021,Upgrading Curry Marsh Drainage System,"Pump, ditching and brushing of drainage canals all replaced",ESSEX,Southwest,172 S Bay Rd,N0R 1M0,,"$226,994 ",Yes,Yes,Yes,,,41.76,-82.64,
Broadband,Infrastructure,PELEE,Pelee Island Remote Community Broadband Network Project,Planning,24-Mar,New broadband construction by Gosfield North Communications,Providing reliable internet access,ESSEX,Southwest,,,,"$19,813,870 ",,Yes,Yes,Yes,,41.7755298,-82.6618226,
Broadband,"Agriculture, Food and Rural Affairs",PELHAM,High Speed Internet Expansion,Planning,2021,Installing fibre-optic cable infrastructure,Increased service speeds and availability of plans for people in this community,NIAGARA,Central,,,,0,,,,,,,,
Recreation,Infrastructure,PELHAM,Rehabilitate Marlene Stewart Streit Park,Planning,27-Dec,"The rehabilitation of Marlene Stewart Streit Park includes upgrades to the existing electrical systems and pool house, replacement of the outdoor pool, a new splash pad and picnic pavilion, and accessibility upgrades to the pool and playground.",,NIAGARA,Central,20 Pelham Town Square,L0S1E0,,"$3,193,750 ",Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000660/canada-and-ontario-invest-over-44-million-in-four-recreation-infrastructure-projects-in-the-niagara-region,43.04546807,-79.28798908,
Recreation,"Tourism, Culture and Sport",PELHAM,Pelham T,Under construction,23-Jan,"Our Municipality, with a $489,800 Community Building Fund – Capital stream grant over 12 months, will address a community need by redeveloping Centennial Park’s current multi-purpose court into a dedicated basketball and ball hockey court and creating six new pickleball courts. ",,NIAGARA,Central,999 Church Street,L0S 1C0,,"$489,800 ",,Yes,,,,43.021255,-79.361379,
Child care,Education,PEMBROKE,École élémentaire publique L'Équinoxe,Under construction,2022,Expansion of existing school,Addition to accommodate 39 child care spaces,RENFREW,East,399 ISABELLA ST,K8A 5T4,,"$1,850,000 ",,Yes,,Yes,,45.82381,-77.12157,
Broadband,Infrastructure,PEMBROKE,Eastern Ontario Regional Network (EORN) Cellular Gap Project,Under construction,25-Aug,"Description: A regional project adding new cellular infrastructure to increase network coverage and capacity across eastern Ontario. Note that the funding listed below is for the entire project, not just this municipality. ","Expanding reliable cellular services which are essential to support economic development, improve public safety and connect with others",RENFREW,East,,,,"$300,000,000 ",Yes,Yes,Yes,Yes,https://www.eorn.ca/en/projects/improving-cell-service.aspx,45.82681,-77.111797,
Roads and bridges,Infrastructure,PEMBROKE,Reconstruction of a Section of Pembroke Street West,Planning,23-Nov,"The project is for the reconstruction of approximately 3 kilometres of Pembroke Street West from Christie Street West to the city limits. The work includes: removal and replacement of asphalt and gutters; installation, widening and reconstruction of paved shoulders and boulevards; repair of concrete sidewalks; upgrading of traffic signals; and relocation of utility poles.","The project aims to improve safety and road conditions for all road users, which may include vehicles, pedestrians and cyclists.",RENFREW,East,1 Pembroke Street/Rue East/Est,K8A3J5,,"$3,281,103 ",Yes,Yes,Yes,,,45.8296,-77.1385,
Recreation,Infrastructure,PENETANGUISHENE,Renovation of the Kitchen in the Community Centre at 36 Main Street in Penetanguishene,Planning,2020,"The project will install accessible counters, cabinets, and work surfaces, which will include plumbing, electrical and painting work. The renovation will improve the accessibility and quality of the community kitchen.",,SIMCOE,Central,63 Main Rue,L9M2G3,,"$66,154 ",,Yes,Yes,Yes,https://www.news.ontario.ca/en/release/61048/30-bundle-en,44.769929,-79.934408,
Recreation,"Tourism, Culture and Sport",PENETANGUISHENE,Penetanguishene T,Under construction,23-Mar,"Our Municipality, with a $500,000 Community Building Fund – Capital stream grant over 12 months, will address a community need by replacing the roof over the arena and Brian Orser Hall at the Penetanguishene Memorial Community Centre to extend life of the facility. ",,SIMCOE,Central,61 Maria Street,L9M 2G2,,"$500,000 ",,Yes,,,,44.765298,-79.92798,
Broadband,Infrastructure,PERRY,Parry Sound - Perry Broadband Project,Planning,24-Mar,New broadband construction by Cogeco Connexion,Providing reliable internet access,PARRY SOUND,Northeast,,,,"$5,187,338 ",,Yes,Yes,Yes,,45.524258,-79.2199656,
Communities,"Agriculture, Food and Rural Affairs",PERTH,Perth Stormwater Improvement,Under construction,2021,"Includes urban stormwater control on sewers, catch basins and outfalls discharging to the Tay River and agricultural septic system repairs","Reduced environmental contamination and improved fish habitat, water safety and aesthetics",LANARK,East,,K7H 1H9,,"$1,544,834 ",Yes,Yes,Yes,,,44.89738,-76.250574,
Broadband,"Agriculture, Food and Rural Affairs",PERTH COUNTY,High Speed Internet Expansion,Planning,23-Jun,Installing fibre-optic cable infrastructure,Increased service speeds and availability of plans for people in this community,PERTH,Southwest,,,,0,,,,,,,,
Broadband,Infrastructure,PERTH COUNTY,Donegal SWIFT Broadband Project,Under construction,22-Dec,New broadband construction by Mornington Communications,Providing reliable internet access for 194 premises,PERTH,Southwest,,,,"$1,924,026 ",,Yes,Yes,Yes,https://www.swiftruralbroadband.ca/projects/approved-projects/,43.619993,-80.9902141,
Broadband,Infrastructure,PERTH COUNTY,Britton SWIFT Broadband Project,Under construction,22-Dec,New broadband construction by Mornington Communications,Providing reliable internet access for 273  premises,PERTH,Southwest,,,,"$2,025,041 ",,Yes,Yes,Yes,https://www.swiftruralbroadband.ca/projects/approved-projects/,43.6960734,-80.9162755,
